Variant,AnnReturn,AnnVol,Sharpe,MaxDD
Base EW,0.0797964243628011,0.0996019460899849,0.8224019358348312,-0.2849879153905974
"Headline realism ON (vol-target only, band=0.00)",0.068959328441766,0.10762415403564429,0.6734728454183672,-0.24754199656819298
